R.1,R.2,R.3,score,rebuild
0.14,0.85,0.01,-0.22784000000000004,FALSE
0.13,0.86,0.01,-0.22450000000000003,FALSE
0.12,0.87,0.01,-0.22116000000000002,FALSE
0.11,0.88,0.01,-0.21782,FALSE
0.1,0.89,0.01,-0.21448,FALSE
0.09,0.9,0.01,-0.21114,FALSE
0.08,0.91,0.01,-0.20779999999999998,FALSE
0.07,0.92,0.01,-0.20445999999999998,FALSE
0.06,0.93,0.01,-0.20112000000000002,FALSE
0.05,0.94,0.01,-0.19778,FALSE
0.04,0.95,0.01,-0.19444,FALSE
0.03,0.96,0.01,-0.19110000000000005,FALSE
0.02,0.97,0.01,-0.18776000000000004,FALSE
0.01,0.98,0.01,-0.18442000000000003,FALSE
0,0.99,0.01,-0.18108000000000002,FALSE
0.98,0,0.02,-0.50748,FALSE
0.97,0.01,0.02,-0.50414,FALSE
0.96,0.02,0.02,-0.5008,FALSE
0.95,0.03,0.02,-0.49746,FALSE
0.94,0.04,0.02,-0.49412,FALSE
0.93,0.05,0.02,-0.49078,FALSE
0.92,0.06,0.02,-0.48744000000000004,FALSE
0.91,0.07,0.02,-0.48410000000000003,FALSE
0.9,0.08,0.02,-0.48076,FALSE
0.89,0.09,0.02,-0.47742,FALSE
0.88,0.1,0.02,-0.47408,FALSE
0.87,0.11,0.02,-0.47074,FALSE
0.86,0.12,0.02,-0.46740000000000004,FALSE
0.85,0.13,0.02,-0.46406000000000003,FALSE
0.84,0.14,0.02,-0.46072,FALSE
0.83,0.15,0.02,-0.45738,FALSE
0.82,0.16,0.02,-0.45404,FALSE
0.81,0.17,0.02,-0.4507,FALSE
0.8,0.18,0.02,-0.44736,FALSE
0.79,0.19,0.02,-0.44402,FALSE
0.78,0.2,0.02,-0.44068,FALSE
0.77,0.21,0.02,-0.43734,FALSE
0.76,0.22,0.02,-0.434,FALSE
0.75,0.23,0.02,-0.43066,FALSE
0.74,0.24,0.02,-0.42732000000000003,FALSE
0.73,0.25,0.02,-0.42398,FALSE
0.72,0.26,0.02,-0.42064,FALSE
0.71,0.27,0.02,-0.4173,FALSE
0.7,0.28,0.02,-0.41396,FALSE
0.69,0.29,0.02,-0.41062,FALSE
0.68,0.3,0.02,-0.40728000000000003,FALSE
0.67,0.31,0.02,-0.40394,FALSE
0.66,0.32,0.02,-0.4006,FALSE
0.65,0.33,0.02,-0.39726,FALSE
0.64,0.34,0.02,-0.39392,FALSE
0.63,0.35,0.02,-0.39058000000000004,FALSE
0.62,0.36,0.02,-0.38724000000000003,FALSE
0.61,0.37,0.02,-0.3839,FALSE
0.6,0.38,0.02,-0.38056,FALSE
0.59,0.39,0.02,-0.37722,FALSE
0.58,0.4,0.02,-0.37388,FALSE
0.57,0.41,0.02,-0.37054,FALSE
